Bor İlçe Merkezi 2024 Profesyonel Parsel-Ürün Su Kotası Modeli - Güncellenmiş Yöntem,,,,,,
"Bu sürüm, hocanın aylık su bütçesi, efektif yağış, iletim ve tarla içi randıman ayrımı, karma sulama, ekilmeyen alan düşümü, sulu-kıraç denge ve ET0/Penman-Monteith notlarını Bor İlçe Merkezi verisi üzerinde şeffaf biçimde birleştirir.",,,,,,
Başlık,Açıklama,Kullanılan formül / mantık,Ana kaynak,İlgili sayfa,Not,Durum
Gelecek yıl ET0/yağış,İleri senaryoda yeni ET0 ve yağış girilebilmesi için şablon eklendi.,Yeni ET0/Yagis girişi → bütçe yeniden hesap,Hoca notu + şablon,17_Gelecek_ETo_Yagis_Girdi,Değer girildiğinde 4. sayfa yeniden çalıştırılmalı.,Şablon hazır
Penman-Monteith / ET0 girdi gereksinimi,ET0 doğrudan hesaplanacaksa gerekli meteorolojik parametreler ayrı listelendi.,"Tmin, Tmax, RH, rüzgar, güneşlenme, solar radyasyon vb.",Hoca notu,21_Penman_Monteith_ET0_Bilgi,Bu sürümde ET0 proxy kullanıldı.,Şablon hazır
Fiyat / kar senaryosu,Bu yıl fiyat kaynağı girilirse kar odaklı değerlendirme yapılabilecek şekilde ayrı şablon eklendi.,Gelir = Üretim × fiyat,Hoca notu,20_Fiyat_Kar_Senaryo,Çekirdek su hesabını etkilemez.,Şablon hazır
DETAYLI AÇIKLAMA VE KULLANILAN FORMÜLLER,,,,,,
Başlık / sütun grubu,"Bu veri neyi ifade eder, nereden alındı?",Kullanılan kaynak / dosya,Formül / hesap mantığı,Bu bilgi neden gerekli? / kontrol ve sınır,Bor İlçe Merkezi özel notu,Sunum ipucu
Sayfanın amacı,Bu sayfa tüm modelin yol haritasıdır. Hangi parametrenin nereden geldiğini ve hangi sayfada kullanıldığını tek bakışta gösterir.,Tüm workbook + ham ilçe merkezi dosyası,Kaynak→formül→çıktı zinciri,Hesapların izlenebilirliğini sağlar.,Bor İlçe Merkezi için doğrudan alan/üretim güçlü; su tarafı modeldir.,'Ham veri ile model verisini ayırdık' diye anlatılmalı.
Aylık su tüketimi mantığı,Yıllık ETc tek başına yeterli değildir; ay ay dağıtım yapılarak hangi ayda rezerv baskısı olduğu görülür.,Bitki su tüketimi referansı + aylık paylar,ETc_ay = ETc_yillik × aylık pay,Pik ay ve rezerv planlaması için gerekir.,Bor İlçe Merkezi'nde pik ay Haziran çıktı.,'Toplam sudan çok aylık pik önemli' denebilir.
Efektif yağış,"Yağışın tamamı bitki tarafından kullanılamadığı için 0,80 katsayısı uygulandı.",Meteoroloji sayfası,"Pe = 0,80 × P",Yağmurun ETc'yi ne kadar karşıladığını gösterir.,"min(aylık ETc, 0,80×yağış)",'Yağmur-sulama katkısını ayırdık' diye vurgulanmalı.
Randıman ayrımı,İletim kaybı ile tarla içi kayıp birbirine karıştırılmadı.,2_Randiman_Katsayi,Brüt = Net /(ηiletim × ηtarla),Şebekede mi tarlada mı kayıp olduğu anlaşılır.,Açık/kapalı şebeke ve damla/yağmurlama/karık etkisi ayrı görünür.,'Kayıpları iki kademede açtık' denmeli.
Temsilî parsel,Gerçek parsel verisi yoksa aktif ürün alanı bir temsilî parsele dönüştürüldü.,Ürün alanları,Her aktif ürün = 1 temsilî parsel,Her parselde her ürün denemesini mümkün kılar.,Bu yaklaşım saha envanteri değildir; karar destek modelidir.,"'Parsel proxy kullandık, saklamadık' denmeli."
Toprak notları,Detaylı sayısal toprak haritası gelmediği için ürün grubu bazlı nitel toprak notları yazıldı.,Hoca notu + ürün tipi yorumu,Nitel sınıflama,Toprak uyum sorusunu kısmen karşılar.,Gerçek harita gelirse güçlenir.,'Toprak kısmı kısmen ve şeffaf' denmeli.
Kar senaryosu,Bu yıl fiyatları dışarıdan girildiğinde suya göre değil gelire göre alternatif değerlendirme yapılabilir.,20_Fiyat_Kar_Senaryo,Gelir = ton × fiyat,Hoca notundaki karı maksimize etme başlığını açık bırakır.,Fiyat kaynağı verilmediği için çekirdek modelde kullanılmadı.,"'Hazır şablon var, veri gelirse çalışır' denmeli."
Penman-Monteith,"Tmin, Tmax, RH, rüzgar, radyasyon ve güneşlenme girilirse ET0 doğrudan hesaplanabilir.",21_Penman_Monteith_ET0_Bilgi,FAO Penman-Monteith girdi seti,ET0'nin doğrudan hesap yolunu gösterir.,Bu sürümde ET0 proxy kullanıldı.,'Direkt ET0 hesabı için girdi şablonu hazır' denmeli.
