Sazlıca 2024 Profesyonel Parsel-Ürün Su Kotası Modeli - Güncellenmiş Yöntem,,,,,,
"Bu sürümde eksikler giderildi: aylık ET0/ETc/efektif yağış/net-brüt sulama bütçesi, meteorolojik girdi tablosu, iletim ve tarla içi randıman ayrımı, parsel içi karma sulama senaryoları ve hocanın notlarına uyum kontrolü eklendi.",,,,,,
Başlık,Açıklama,Kullanılan formül / mantık,Ana kaynak,İlgili sayfa,Not,Durum
Gözlenen verim,Mevcut durum verimi ürünün 2024 yılında Sazlıca'da gözlenen performansını verir. Sonraki senaryolarda beklenen üretim hesabının temel referansıdır.,2024-SAZLICA.xlsx içindeki alan ve üretim değerleri,Gözlenen verim (ton/da) = Üretim (ton) / Alan (da),Bir ürün parselde önerildiğinde üretimi hesaplamak için önce birim alan verimini bilmek gerekir.,,
Bitki yoğunluğu ve ağaç/fide sayısı,"Her üründe sıra arası ve sıra üzeri değerlerinden bir bitkinin kapladığı alan ve dekara düşen bitki sayısı türetildi. Meyve ağaçlarında ağaç sayısı, sebzelerde fide yoğunluğu bu yolla hesaplandı.",Hocanın dikim aralığı vurgusu + teknik ürün bilgileri + önceki dosyalar,Alan_m2/bitki = Sıra arası × Sıra üzeri; Bitki adedi/da = 1000 / Alan_m2/bitki,Bitki başına yıllık net ve brüt su tüketimini hesaplamak ve parselde yaklaşık kaç birey bulunduğunu göstermek için gereklidir.,,
Aylık ETc modeli,"Yıllık ETc değeri tek başına yeterli görülmedi; hoca notuna uygun olarak ay bazına dağıtıldı. Böylece her ay su talebinin ne kadar değiştiği, pik ayın hangi ay olduğu ve rezerv planlamasında hangi dönemin kritik olduğu görünür hale geldi.",1_Meteoroloji_2024 ve 4_Urun_Aylik_SuButcesi,ETc_ay = ET0_proxy_ay × Kc_ölçekli_ay,Aylık bütçe olmadan sadece yıllık toplamla karar vermek pik sulama aylarını saklar ve planlamayı zayıflatır.,,
Efektif yağış,"Yağışın tamamı bitkinin kök bölgesine yararlı su olarak ulaşmadığı için basit bir efektif yağış katsayısı kullanıldı. Hoca notunda da CropWat benzeri yaklaşım ve 0,80 çarpanı özellikle vurgulanmıştı.",Meteoroloji yağış verileri + hocanın notu + FAO/CropWat yaklaşımı,"Efektif yağış = 0,80 × aylık yağış",Toplam yağış ile bitkinin gerçekten yararlanabildiği yağış aynı değildir; net sulama ihtiyacını doğru hesaplamak için bu ayrım zorunludur.,,
Net sulama,"Net sulama, bitkinin kök bölgesine verilmesi gereken gerçek su miktarıdır. Bu değer yağış katkısı düşüldükten sonra hesaplanır.",4_Urun_Aylik_SuButcesi,"Net sulama = MAX(ETc − Efektif yağış, 0)",Yağış ETc'yi karşıladığı aylarda sulama ihtiyacı sıfıra düşebilir; bu kontrol için MAX fonksiyonu mantığı gerekir.,,
Brüt sulama,Barajdan çekilecek su net sulamadan daha büyüktür; çünkü iletim ve tarla içi uygulama sırasında kayıp oluşur. Hoca notunda 'sulama şebekesi randımanı' ve 'tarla içi sistem kaybı' ayrımı özellikle istenmiştir.,"2_Randiman_Katsayi, 4_Urun_Aylik_SuButcesi",Toplam randıman = İletim randımanı × Tarla içi randıman; Brüt sulama = Net sulama / Toplam randıman,Barajdan fiilen çekilen su miktarını bulmak için kayıplar mutlaka hesaba katılmalıdır.,,
Parsel kotası,Her mevcut ürün alanı temsilî bir parsel gibi ele alındı ve o mevcut ürünün aynı alanda tam sulama altındaki yıllık brüt ihtiyacı 'parsel su kotası' olarak tanımlandı.,5_Parsel_Proxy,Parsel kotası (m3) = Parsel alanı (da) × mevcut ürünün yıllık brüt su ihtiyacı (m3/da),"Bu yaklaşım, her parselde aynı su bütçesiyle alternatif ürün veya desenleri kıyaslamayı sağlar.",,
Kota altında verim/üretim,"Aday ürün parsel kotasını aşıyorsa, ürünün tam sulama ihtiyacı ile kullanılabilir su oranı üzerinden bir verim oranı türetildi. Bu sürümde şeffaf ve izlenebilir kalmak için doğrusal oran varsayımı kullanıldı.",6_ParselxUrun_Kota,"Kota karşılama oranı = MIN(1, Parsel kotası / Aday ürünün tam sulama toplam brüt ihtiyacı); Verim oranı ≈ ETa/ETm oranı; Beklenen üretim = Alan × gözlenen verim × verim oranı",Her ürün aynı su altında aynı verimi vermez; kota kısıtı altında üretim kaybını göstermek gerekir.,,
Desen alternatifleri,Tek ürün önerisinin yanında %50-%50 desenler ve karma sulama yöntemleri ayrıca hesaplandı. Böylece bir parselin tamamını tek ürün yerine iki ürünle paylaşma ve yöntemi değiştirme seçenekleri görülebilir.,8_Karma_Sulama_Senaryo ve 9_YariYari_Oneri,"Karışım brüt su = 0,5×Ürün1 + 0,5×Ürün2; Karma randıman = yöntem yüzdeleri ile ağırlıklı ortalama",Hoca notundaki 'parselin tamamı aynı yöntem olmak zorunda değil' uyarısı bu sayfalarda karşılandı.,,
Doğruluk kontrolü ve sınırlar,Toplam hesap zinciri tutarlıdır; ancak Sazlıca için ham meteorolojik istasyon yerine Niğde istasyonu proxy olarak kullanılmıştır ve bazı ürünlerde ETc/toprak bilgisi proxy kabul edilmiştir.,"1_Meteoroloji_2024, 3_Urun_Referans, 12_Hoca_Uyum_Kontrol",Kontrol mantığı: veri eksikliği olan yerler 'proxy' notuyla işaretlendi; belirsizlik saklanmadı.,Bu dosya karar destek amaçlı güçlü bir modeldir; resmi sulama tahsis belgesi yerine geçmez.,,
Sunum için önerilen okuma sırası,,,,,,
1,11_Sazlica_Toplam_Su_Ozeti,Köy ölçeğinde ana KPI ve pik ay,,,,
2,10_Oneri_Ozet,Parsel bazında kısa karar listesi,,,,
3,13_Veri_Sozlugu,Zor başlıkların açıklaması ve kullanıcı soruları,,,,
4,14_Formul_Izleme,Formül iz sürme ve hücre bazlı kanıt,,,,
5,6_ParselxUrun_Kota,Detay aday ürün-karar matrisi,,,,
6,8_Karma_Sulama_Senaryo / 9_YariYari_Oneri,Alternatif desen ve yöntem senaryoları,,,,
